committer_id|bin_2months|num_files|total_code_added|total_code_change|total_code_del|sum_net_contr|avg_net_contr|mean_neighbr_files|mean_neighbr_code_add|mean_neighbr_code_change|mean_neighbr_code_del|mean_neighbr_avg_avg_netcontr|mean_neighbr_avg_sum_netcontr
390|11|362|1837|2870|3389|3012.5|46.3461538462|37.0|676.0|266.0|184.0|94.4444444444|850.0
390|10|885|6561|4338|2334|9732.0|94.4854368932|652.75|7307.5|3136.25|1740.5|104.35317139|9573.5
390|13|111|39|524|661|232.5|10.1086956522|168.0|1549.0|1406.0|404.0|101.962962963|2753.0
390|12|111|1037|813|935|1382.5|57.6041666667|9.5|139.5|77.0|91.0|44.625|171.0
390|14|51|9|236|302|94.0|15.6666666667|12.0|2.0|37.0|99.0|-10.5|-10.5
92|9|347|2986|10550|8990|9041.0|114.443037975|247.25|1904.75|5522.75|4661.25|79.4614712982|5096.875
462|15|17|4|142|12|140.0|46.6666666667|499.0|844.0|3806.0|2942.5|86.4710960961|3178.75
462|11|26|40|356|51|370.5|26.4642857143|19.0|2651.5|262.5|3.0|549.1625|2912.5
117|15|658|800|3597|5816|1489.0|41.3611111111|17.0|4.0|142.0|12.0|46.6666666667|140.0
155|11|62|133|481|55|586.5|83.7857142857|42.0|28.0|3274.0|3455.0|92.6176470588|1574.5
155|13|48|1654|985|944|2167.0|216.7|270.0|1786.66666667|4255.66666667|1862.0|86.7677865613|5111.33333333
155|15|22|405|386|1193|194.5|32.4166666667|204.333333333|1265.33333333|4349.66666667|7486.0|86.9365384615|1872.0
155|16|12|7|250|416|49.0|24.5|147.0|217.0|935.0|682.0|24.5757575758|811.0
330|6|93|594|1625|303|2067.5|121.617647059|1477.0|9235.0|13363.0|5316.0|114.597701149|19940.0
330|5|58|3937|2121|0|6058.0|466.0|559.0|4473.0|7364.0|3612.0|99.3168316832|10031.0
330|4|37|495|1656|0|2151.0|215.1|761.0|9192.0|15269.0|1807.0|142.772727273|23557.5
330|3|104|2902|4104|0|7006.0|218.9375|468.0|11442.0|8479.5|4876.5|238.074139676|17483.25
1011|8|2|3|43|0|46.0|46.0|17.0|15.0|200.0|118.0|22.2857142857|156.0
