feature_id_id|bin_2months|committer_id|committer_neighbor_id|count
7984|3|441|720|3
5257|7|161|720|32
2232|13|1|49|8
6227|6|788|720|6
7312|4|1491|1400|12
3929|10|198|779|1
5642|6|161|720|12
4852|7|663|720|6
3185|11|462|307|9
3089|11|36|335|4
3089|11|335|1|20
3089|11|36|1|5
3948|10|626|595|28
7347|4|1493|1536|2
4969|8|195|16|6
5916|6|234|1124|8
4276|9|449|66|12
3848|10|16|429|102
7295|3|161|720|15
8148|3|626|1425|4
1026|13|520|136|4
7295|4|161|720|1
445|16|99|161|6
445|16|29|161|12
445|16|30|29|8
445|16|99|29|2
445|16|30|99|4
445|16|30|161|24
1931|12|68|211|44
1931|12|357|211|4
1931|12|68|56|22
1931|12|68|357|11
1931|12|357|56|2
1931|12|211|56|8
1931|13|68|211|4
1931|13|68|56|2
1931|13|211|56|2
1158|15|6|181|1
1931|11|68|211|8
7094|4|31|16|1
673|16|99|29|8
673|16|29|5|4
673|16|99|5|2
7985|2|626|720|1
7985|2|1123|720|8
7985|2|626|1123|8
4339|8|31|720|5
5574|7|335|238|44
2755|12|93|68|8
3244|11|6|49|1
4137|10|449|66|6
4550|6|31|720|77
4550|7|31|720|4
2624|12|1|56|14
8006|3|1523|1597|7
8006|3|335|1523|7
8006|3|1310|1597|2
8006|3|335|1310|2
8006|3|1310|1523|14
8006|3|335|1597|1
1084|15|6|16|5
4339|7|31|720|4
2621|12|390|172|1
3019|11|45|40|5
670|13|30|45|9
2394|12|10|16|3
101|16|10|16|2
5532|7|31|720|20
7054|4|1332|720|4
6640|4|595|720|3
1104|13|520|29|3
1104|13|520|136|1
1104|13|136|29|3
2337|9|806|305|20
5028|8|383|720|7
7272|4|1050|720|2
3484|10|315|422|5
3964|10|626|51|5
3964|10|51|5|5
3964|10|626|5|1
2149|13|72|56|7
8021|2|161|720|4
1625|13|714|68|1
1625|13|714|45|1
1625|13|68|45|1
2428|12|254|115|1
670|15|30|45|4
7197|4|644|844|4
5022|8|36|1029|2
7171|3|1001|720|8
7554|3|93|1330|15
7554|3|644|93|60
7554|3|644|1330|4
4728|8|344|16|14
6202|6|161|720|4
6895|4|750|720|3
395|16|30|16|1
6518|5|234|49|6
7419|3|663|57|60
7419|3|663|720|12
7419|3|57|720|20
3863|10|335|16|6
3863|10|93|64|19
3863|10|335|64|2
3863|10|93|16|57
3863|10|16|64|3
3863|10|335|93|38
2599|11|520|595|6
1595|14|6|93|3
6361|5|6|1143|3
3982|10|51|5|6
3070|10|109|31|36
4019|10|341|668|1
425|16|389|59|1
3845|10|16|429|78
4778|9|779|895|2
8421|2|1573|1406|12
769|14|16|61|25
7550|4|93|1330|8
7550|4|1330|720|2
7550|4|93|720|4
5087|8|131|720|2
4493|7|441|155|98
1319|14|29|56|3
1424|14|275|5|2
4601|9|254|115|1
6232|5|161|720|18
5087|7|131|720|12
8257|2|161|720|48
8257|2|30|161|48
8257|2|30|720|36
8257|3|161|720|8
4285|9|36|1024|6
7429|3|663|57|42
1763|13|454|280|24
8241|3|344|1442|9
3869|10|31|92|8
3869|10|31|450|18
3869|10|92|450|36
2736|11|16|47|3
6100|6|335|1171|12
6044|6|626|751|12
259|16|29|225|4
259|16|161|225|1
259|16|30|225|1
259|16|29|161|4
259|16|30|29|4
259|16|30|161|1
718|14|341|16|2
1011|13|136|29|10
718|11|495|496|2
2859|11|36|761|1
2859|11|626|761|10
2859|11|36|626|10
718|13|495|16|30
8075|3|161|720|3
2390|12|10|226|12
4329|9|344|165|2
6203|5|161|720|20
2207|12|831|226|2
2207|12|832|831|28
2207|12|832|226|14
2361|12|663|64|7
2361|13|36|663|1
3463|6|31|356|6
3463|6|356|720|1
3463|6|31|720|6
4258|9|449|66|48
